conference	authors	title	year	DOI
International Conference on Computer Aided Verification	Loris DAntoni, Roopsha Samanta, and Rishabh Singh	Qlose: Program Repair with Quantitative Objectives	2016	NOT_FOUND
11th International Workshop in Automation of Software Test (AST 2016)	Thomas Durieux and Martin Monperrus	DynaMoth: Dynamic Code Synthesis for Automatic Program Repair	2016	NOT_FOUND
Research Report hal-01272126. Universite Lille 1	Thomas Durieux and Martin Monperrus	IntroClassJava: A Benchmark of 297 Small and Buggy Java Programs	2016	NOT_FOUND
PhD thesis. University of Texas	Divya Gopinath	Systematic techniques for more effective fault localization and program repair	2016	NOT_FOUND
arXiv preprint arXiv:1603.03165	Sumit Gulwani, Ivan Radiek, and Florian Zuleger	Automated Clustering and Program Repair for Introductory Programming Assignments	2016	NOT_FOUND
Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering	Mouna Hammoudi, Gregg Rothermel, and Andrea Stocco	Waterfall: An incremental approach for repairing record-replay tests of web applications	2016	NOT_FOUND
2016 IEEE 40th Annual Computer Software and Applications Conference (COMPSAC)	Tao Ji, Liqian Chen, Xiaoguang Mao, and Xin Yi	Automated Program Repair by Using Similar Code Containing Fix Ingredients	2016	10.1109/compsac.2016.69
Journal of Systems and Software	Mingyue Jiang, Tsong Yueh Chen, Fei-Ching Kuo, Dave Towey, and Zuohua Ding	A Metamorphic Testing Approach for Supporting Program Repair without the Need for a Test Oracle	2016	NOT_FOUND
Proceedings of the 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)	X. B. D. Le, D. Lo, and C. L. Goues	History Driven Program Repair	2016	10.1109/saner.2016.76
2016 IEEE International Conference on Software Maintenance and Evolution (ICSME)	X. D. Le, D. Lo, and C. Le Goues	Empirical Study on Synthesis Engines for Semantics-Based Program Repair	2016	10.1109/icsme.2016.68
IEEE International Conference on Software Maintenance and Evolution	Xuan-Bach D Le, Quang Loc Le, David Lo, and Claire Le Goues	Enhancing automated program repair with deductive verification	2016	NOT_FOUND
Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering	Haopeng Liu, Yuxi Chen, and Shan Lu	Understanding and Generating High Quality Patches for Concurrency bugs	2016	NOT_FOUND
Proceedings of the Symposium on Principles of Programming Languages	Fan Long and Martin C. Rinard	Prophet: Automatic Patch Generation via Learning From Successful Patches	2016	NOT_FOUND
Proceedings of the ACM on Asia Conference on Computer and Communications Security	Siqi Ma, David Lo, Teng Li, and Robert H Deng	Cdrep: Automatic repair of cryptographic misuses in android applications	2016	NOT_FOUND
Proceedings of ISSTA, Demonstration Track	Matias Martinez and Martin Monperrus	ASTOR: A Program Repair Library for Java	2016	NOT_FOUND
Proceedings of the 38th International Conference on Software Engineering	Sergey Mechtaev, Jooyong Yi, and Abhik Roychoudhury	Angelix: Scalable Multiline Program Patch Synthesis via Symbolic Analysis	2016	NOT_FOUND
Proceedings of the 8th International Symposium on Search Based Software Engineering	Vinicius Oliveira, Eduardo Souza, Claire Le Goues, and Celso G. Camilo	Improved Crossover Operators for Genetic Programming for Program Repair	2016	NOT_FOUND
Companion Proceedings of the 2016 ACM SIGPLAN International Conference on Systems, Programming, Languages and Applications: Software for Humanity	Yewen Pu, Karthik Narasimhan, Armando Solar-Lezama, and Regina Barzilay	sk_p: a neural program corrector for MOOCs	2016	NOT_FOUND
International Symposium on Formal Methods	Bat-Chen Rothenberg and Orna Grumberg	Sound and complete mutation-based program repair	2016	10.1007/978-3-319-48989-6_36
2016 46th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshop (DSN-W)	W. Weimer, S. Forrest, M. Kim, C. L. Goues, and P. Hurley	Trusted Software Repair for System Resiliency	2016	10.1109/dsn-w.2016.64
Proceedings of the 32Nd IEEE/ACM International Conference on Automated Software Engineering	Liushan Chen, Yu Pei, and Carlo A. Furia	Contract-based Program Repair Without the Contracts	2017	10.1109/ase.2017.8115674
Proceedings of the 32nd IEEE/ACM International Conference on Automated Software Engineering	Xi Cheng, Min Zhou, Xiaoyu Song, Ming Gu, and Jiaguang Sun	IntPTI: Automatic integer error repair with proper-type inference	2017	NOT_FOUND
